,SDP,RDP,Dead nodes,Average energy,Consumed Energy
0,2210,2210,0,0.9963435233449999,0.5762569130000372
1,2210,2210,0,0.9963435233449999,0.5762569130000372
2,2210,2210,0,0.9904052094899999,1.1832907379999256
3,2210,2210,0,0.9844096636575004,1.773593838999986
4,2210,2210,0,0.9785384604525004,2.363404857999967
5,2210,2210,0,0.9727539865600003,2.941286958999953
6,2210,2210,0,0.9668053646050003,3.5470542039999486
7,2210,2210,0,0.9606346169050004,4.1683010779999705
8,2210,2210,0,0.9544199727200006,4.792782290999938
9,2210,2210,0,0.9484113085500004,5.388937658999964
10,2210,2210,0,0.9421562194000009,6.015886679999866
11,2210,2210,0,0.9359125227025006,6.6408354829999325
12,2210,2210,0,0.9300394416925005,7.208270260000006
13,2210,2210,0,0.9241474234550003,7.815019493999955
14,2210,2210,0,0.9180921164525007,8.414104954999956
15,2210,2210,0,0.9120642408200008,9.018004062999907
16,2210,2210,0,0.9060009374700012,9.626864918999885
17,2210,2210,0,0.8998487981050013,10.229695809999882
18,2210,2210,0,0.8936507043175012,10.864008584999894
19,2210,2210,0,0.8875776205500012,11.458496972999882
20,2210,2210,0,0.8816854995400014,12.054446384999835
21,2210,2210,0,0.8757307909350014,12.652194884999872
22,2210,2210,0,0.8695755982900015,13.270002282999826
23,2210,2210,0,0.8635436147725015,13.861444882999834
24,2210,2210,0,0.857730674102502,14.446526169999828
25,2210,2210,0,0.8517614419025018,15.055328954999808
26,2210,2210,0,0.8457849498150021,15.636951851999797
27,2210,2210,0,0.8399035015925025,16.23374308799977
28,2210,2210,0,0.833926482742502,16.8349834629998
29,2210,2210,0,0.8278340388050022,17.452031687999806
30,2210,2210,0,0.8217785712225021,18.05989876399981
31,2210,2210,0,0.8156636258875021,18.656521108999783
32,2210,2210,0,0.8094088247050022,19.278572889999765
33,2210,2210,0,0.8033491356750024,19.879841344999747
34,2210,2210,0,0.7973152797675025,20.497473693999737
35,2210,2210,0,0.7911292082550028,21.117770618999756
36,2210,2210,0,0.7849017387050026,21.72829050799973
37,2210,2210,0,0.7790145592275028,22.317454549999724
38,2210,2210,0,0.7730768589475031,22.912494327999696
39,2210,2210,0,0.767259329337503,23.4998338799997
40,2210,2210,0,0.7612330598700031,24.10328065899968
41,2210,2210,0,0.7552955415950029,24.69711544699969
42,2210,2210,0,0.7491180381675033,25.308713419999677
43,2210,2210,0,0.7431699849175033,25.912502036999697
44,2210,2210,0,0.7372013808175034,26.499504178999658
45,2210,2210,0,0.7312256418275035,27.09984549799961
46,2210,2210,0,0.7252668897425036,27.694921015999654
47,2210,2210,0,0.7192903764550036,28.295848386999637
48,2210,2210,0,0.7132121046550037,28.908736308999636
49,2210,2210,0,0.7070906486825036,29.514672092999646
50,2210,2210,0,0.7010596910225038,30.1183565219996
51,2210,2210,0,0.6950520225250039,30.72328339399961
52,2210,2210,0,0.6889216456225042,31.33986854499956
53,2210,2210,0,0.682948065967504,31.925208147999612
54,2210,2210,0,0.6771152695150038,32.50369841199962
55,2210,2210,0,0.6712513211325043,33.102854607999575
56,2210,2210,0,0.6652018849125042,33.71507590699957
57,2210,2210,0,0.659075285872504,34.31654605399959
58,2210,2210,0,0.6531403399625042,34.913519658999576
59,2210,2210,0,0.6472646155700043,35.48730898999953
60,2210,2210,0,0.6414159918750044,36.092558359999565
61,2210,2210,0,0.6353324221075043,36.69843022999956
62,2210,2210,0,0.6291870275750046,37.314592648999536
63,2210,2210,0,0.6231552620625047,37.92088982299953
64,2210,2210,0,0.6171926528375046,38.50911230299955
65,2210,2210,0,0.6111066274425047,39.11805623199953
66,2210,2210,0,0.6050456793000051,39.72895832099947
67,2210,2210,0,0.5991598232625049,40.30037531599952
68,2210,2210,0,0.5931889210300049,40.90060265599952
69,2210,2210,0,0.5871179522550051,41.50518748999948
70,2210,2210,0,0.5809680301375053,42.140043501999465
71,2210,2210,0,0.5746831061900055,42.755248940999444
72,2210,2210,0,0.5686177128125054,43.37657190099947
73,2210,2210,0,0.5623665101425055,43.98090868999944
74,2210,2210,0,0.5565139868325053,44.570458621999464
75,2210,2210,0,0.5505217440700054,45.16912260899945
76,2210,2210,0,0.5446364628125054,45.76166224499946
77,2210,2210,0,0.5386451696000056,46.35966199499943
78,2210,2210,0,0.5326516959300056,46.96576528699945
79,2210,2210,0,0.5267284136550058,47.54524866399943
80,2210,2210,0,0.5207476045650059,48.15287241099941
81,2210,2210,0,0.5147923645300059,48.736289672999426
82,2210,2210,0,0.5089500465425058,49.32622424599943
83,2196,2142,1,0.5056090015198544,49.90898798999942
84,2170,2170,1,0.5022109194419252,50.5000185389994
85,2170,2170,1,0.49621231971465235,51.09750875199941
86,2170,2170,1,0.49005970430303625,51.70242043199939
87,2170,2170,1,0.484143874858592,52.293097943999385
88,2169,2169,2,0.4792113662976768,52.890311133999404
89,2130,2130,2,0.4771269466224552,53.453767258999385
90,2106,2106,4,0.47600197124127847,54.06371530499947
91,2050,2050,4,0.47489766952604756,54.60836307199943
92,2018,2018,5,0.4742503505315846,55.13652634799947
93,1941,1941,8,0.47891094417430935,55.65418879399943
94,1869,1869,9,0.4826839795480232,56.13473754099946
95,1845,1845,10,0.47973980486716106,56.66781010199948
96,1723,1690,14,0.493327512029541,57.13631017899948
97,1564,1564,18,0.5101189137301885,57.56414919499955
98,1481,1481,19,0.5157774879097843,57.98439390099954
99,1450,1450,19,0.515504865604944,58.39782997699953
100,1421,1421,20,0.5152940880142802,58.802081411999566
